TOTAL_PURCHASES,PRC_CASH_ADVANCE,CREDIT_LIMIT,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT
95.41000000000001,0.0,1000.0,139.50978700000002,0.0
6442.955483,0.9999984479172599,7000.0,1072.340217,0.22222199999999998
773.18,0.0,7500.0,627.284787,0.0
16.01,0.0,1200.0,244.79123700000002,0.0
1333.29,0.0,1800.0,2407.246035,0.0
7091.02,0.0,13500.0,198.065894,1.0
436.21,0.0,2300.0,532.03399,0.0
861.5,0.0,7000.0,311.963409,0.0
1281.61,0.0,11000.0,100.302262,0.0
920.13,0.0,1200.0,2172.697765,0.0
1492.19,0.0,2000.0,155.549069,0.0
3218.0,0.0,3000.0,490.20701299999996,0.25
2137.94,0.0,7500.0,251.13798599999998,0.083333
346.82139,0.999971166714948,3000.0,989.962866,0.0
3913.2012670000004,0.5881351635062732,8000.0,2109.90649,0.0
2784.2847030000003,0.999996408413267,3000.0,376.579631,0.0
519.01,0.0,2500.0,73.203221,0.25
504.36,0.0,13000.0,744.613395,0.0
398.65,0.0,4000.0,12465.54938,0.0
176.69,0.0,2000.0,13557.29726,0.0
6588.9882450000005,0.03475924322278101,11250.0,1659.775075,0.0
815.91,0.0,1800.0,86.329554,0.0
12222.775626,0.652422646868933,9000.0,1425.426525,0.0
798.9598629999999,0.9999874837267013,6000.0,1657.002877,0.0
399.61,0.0,3000.0,163.005536,0.0
346.850485,0.7058963316715559,1700.0,971.183209,0.0
233.29,0.0,1000.0,164.748819,0.0
2623.2052590000003,0.8524476883110731,10500.0,1648.851345,0.0
100.01,0.0,6900.0,159.684442,0.0
6221.603301000001,0.5116982145885614,13000.0,3292.01503,0.0
1523.535755,0.11539982204093398,6000.0,256.848991,0.0
1514.493753,0.7854332516352083,10500.0,2506.745366,0.0
636.8,0.0,1200.0,196.301885,0.3
547.29,0.0,11000.0,17862.55831,0.0
99.27436700000001,0.9998992690630805,1800.0,634.5693110000001,0.0
8873.385046,0.9999988730343664,9000.0,1986.843608,0.0
4078.2209010000006,0.4162748762784588,5000.0,1541.141605,0.0
3129.709862,0.9348150438872853,9000.0,2049.408839,0.0
7136.932877,0.865033058794172,7500.0,719.948985,0.333333
3133.073934,0.9999968082464025,1800.0,283.33344500000004,0.166667
3715.019607,0.5890735012209586,3000.0,363.142736,0.11111099999999999
203.82999999999998,0.0,4500.0,1801.264841,0.0
1481.5970929999999,0.9999932505267138,1500.0,321.35413700000004,0.0
1525.45,0.0,8500.0,1318.71492,0.0
1123.4095519999998,0.9023063318229647,1700.0,147.199792,0.0
2390.61,0.0,3300.0,175.657825,0.916667
